"","AirBnB ","Amazon","Apple","Cisco","Dell","Etsy ","Facebook","Flickr","Google","Groupon","HP","Indiegogo","Ingram Micro","Instagram","Intel","LinkedIn","Microsoft","Netflix","Nvidia","Pandora","Pinterest","Salesforce","Slack","Tumblr","Twitter","Uber","Yahoo!","Yelp","YouTube","eBay"
"white",49.77018385291767,48.0,53.46534653465347,52.475247524752476,68.7092070560661,78.21782178217822,48.51485148514851,45.0,53.0,61.386138613861384,73.0,57.99999999999999,52.0,48.51485148514851,47.8,50.98039215686274,56.00000000000001,56.32183908045977,36.633663366336634,65.0,47.524752475247524,66.24679979518689,58.699999999999996,45.0,55.203045685279186,48.55144855144856,45.0,62.0,54.90196078431373,50.0
"asian",36.330935251798564,13.0,20.792079207920793,36.633663366336634,9.116789334004125,9.900990099009901,39.603960396039604,44.0,36.0,19.801980198019802,12.0,28.000000000000004,14.000000000000002,39.603960396039604,38.5,38.23529411764706,31.0,27.586206896551722,44.554455445544555,16.0,40.5940594059406,24.444444444444443,24.399999999999995,44.0,32.74111675126903,32.26773226773227,44.0,15.0,34.31372549019608,39.0
"latino",7.434052757793766,13.0,12.871287128712872,4.9504950495049505,11.151228995656833,3.9603960396039604,4.9504950495049505,4.0,4.0,7.920792079207921,8.0,7.000000000000001,19.0,4.9504950495049505,8.8,3.9215686274509802,6.0,6.896551724137931,2.9702970297029703,8.0,5.9405940594059405,3.9938556067588324,6.8999999999999995,4.0,4.31472081218274,6.093906093906094,4.0,10.0,3.9215686274509802,6.0
"black",3.447242206235012,21.0,8.91089108910891,3.9603960396039604,10.047215664125355,2.9702970297029703,2.9702970297029703,2.0,3.0,7.920792079207921,4.0,4.0,14.000000000000002,2.9702970297029703,4.0,3.9215686274509802,4.0,4.597701149425287,0.9900990099009901,5.0,2.9702970297029703,2.590885816692268,4.8999999999999995,2.0,4.31472081218274,8.091908091908092,2.0,6.0,1.9607843137254901,3.0
"multi",2.5179856115107913,0.0,2.9702970297029703,0.9900990099009901,0.0,3.9603960396039604,2.9702970297029703,2.0,4.0,0.0,2.0,0.0,1.0,2.9702970297029703,0.2,1.9607843137254901,2.0,0.0,13.861386138613863,5.0,1.9801980198019802,2.6216077828981055,4.3999999999999995,2.0,3.4263959390862944,4.295704295704296,2.0,5.0,3.9215686274509802,1.0
"other",0.49960031974420466,5.0,0.9900990099009901,0.9900990099009901,0.9755589501475889,0.9900990099009901,0.9900990099009901,3.0,0.0,2.9702970297029703,1.0,3.0,0.0,0.9900990099009901,0.7,0.9803921568627451,1.0,4.597701149425287,0.9900990099009901,1.0,0.9900990099009901,0.10240655401945725,0.6999999999999998,3.0,0.0,0.6993006993006993,3.0,2.0,0.9803921568627451,1.0
